,0
0,100000000.0
1,100002432.00857319
2,100087186.05472961
3,99691778.16881564
4,99762953.11141098
5,98978373.011606
6,98933416.88185407
7,97454591.52593596
8,98326679.49306081
9,98542682.10128035
10,97633868.09202752
11,97127884.47288728
12,98439344.55559908
13,95998059.08336867
14,95633844.79690251
15,98074045.6698088
16,98644434.4217459
17,99767372.93671802
18,98026261.91535524
19,96981573.59095615
20,96285151.15486863
21,97559360.22393298
22,96192229.4094553
23,98388673.39215103
24,96908752.13327594
25,98574175.55781159
26,94401777.12945856
27,95579979.7240086
28,94368384.47585313
29,92952289.48328216
30,90658016.08274925
31,90840168.19315341
32,88658158.94361441
33,87846244.97150898
34,85640835.72715165
35,88235267.03978792
36,89284126.702692
37,90655564.16810411
38,86507274.98975798
39,85873361.89304562
40,87138237.66059911
41,88726625.64669427
42,84444256.77331376
43,84108681.50825925
44,84091251.56077994
45,89089943.51733169
46,86457520.19660237
47,90751957.91775808
48,92464388.73195705
49,97373731.6917176
50,97740982.92970994
51,96167924.37420556
52,98393454.58924684
53,101020198.51485738
54,100139169.6992529
55,104958481.81192446
56,103387316.32300057
57,99099757.00143689
58,98050097.07694913
59,100717910.10982175
60,105230293.05161254
61,104111045.96785818
62,105403265.30205505
63,104207036.49573137
64,103263519.47460067
65,107467409.43135947
66,104801248.76945496
67,102136513.44226728
68,100742216.20303047
69,100056621.99146105
70,100343122.42494595
71,102404375.25049514
72,102251515.84114379
73,100820318.07970911
74,101659121.66440505
75,103170842.38333613
76,100419559.39919674
77,100634538.90629679
78,98433638.18596587
79,102920380.83111694
80,106074326.11156164
81,108482514.6431596
82,109680258.83012314
83,109040651.79906434
84,107974836.70164008
85,108216726.84490241
86,105998149.10510243
87,108257605.24274345
88,104411809.8077711
89,107188774.90144737
90,107415137.34464802
91,106380790.65205625
92,106718363.43082006
93,108337161.39026798
94,107691966.39768757
95,109063455.397842
96,109118737.58617593
97,109911434.70560797
98,111208794.30533226
99,113018605.24181326
100,113886932.26342072
101,114512594.62829883
102,117092043.3616835
103,117505631.69277723
104,116906704.06393482
105,120200493.83881046
106,119133217.74259903
107,120847596.16446175
108,118926897.85588087
109,115992390.25953275
110,117366531.09820631
111,114810742.78360878
112,116101491.37778617
113,116090527.01447542
114,112650282.5515715
115,112219665.8015485
116,114905740.89026111
117,115799895.5079735
118,115295292.41476698
119,116823509.74340078
120,116570107.75101714
121,116318570.31196195
122,114969049.94154795
123,112503071.10165052
124,111992088.1089232
125,109623510.58815253
126,108035065.42531556
