,0
0,100000000.0
1,99998951.62091736
2,100002820.75941992
3,99959115.31389531
4,99962575.81211625
5,99882237.462546
6,99892588.61283238
7,99740229.95786355
8,99837683.70029086
9,99862797.90424033
10,99744637.1377855
11,99640631.28983906
12,99781543.35907888
13,99530176.59455663
14,99501553.03970532
15,99766995.7809973
16,99808016.70907031
17,99986600.3823093
18,99862251.02814817
19,99777082.38333522
20,99734263.51553313
21,99915630.23602207
22,99781959.6712091
23,99907236.23422197
24,99817061.85865669
25,100067043.68832353
26,99600040.33677505
27,99657592.34737474
28,99548242.44658042
29,99395586.62263392
30,99177373.05930854
31,99193826.5557276
32,98952414.9651601
33,98920872.24569276
34,98736055.96382955
35,99002857.21079902
36,99115439.98303412
37,99273449.96588601
38,98781604.06828447
39,98685476.82024777
40,98806220.43988858
41,98980305.49032925
42,98448291.73067579
43,98232510.82702485
44,98203481.00511578
45,98908757.42735252
46,98603749.73911627
47,99351504.34007855
48,99689913.72887805
49,100468627.07549779
50,100461202.86913224
51,100485320.22124273
52,101038005.03843378
53,101557879.17489806
54,101432868.87281722
55,102120172.02860238
56,101728520.27967428
57,100851559.1002413
58,100575462.55810557
59,101018393.69405174
60,101783166.21912509
61,101784167.34131382
62,101810266.76832603
63,101501848.45932592
64,101053323.91404746
65,101899519.95583549
66,101154645.43498473
67,100686758.33842011
68,100516471.50177093
69,100390100.59902126
70,100547948.56129834
71,100958924.69111794
72,101044374.62728028
73,100544469.95618123
74,100543350.00495782
75,100715037.24863045
76,100450887.91216654
77,100523630.05385049
78,100047416.87207654
79,100981098.8561241
80,101472955.37896752
81,102392643.13870886
82,102832840.74998978
83,102940082.590976
84,102301596.59614623
85,102619664.29297753
86,101840806.33357684
87,102548069.79227231
88,101428355.02758615
89,102162984.35532366
90,102530314.51759611
91,102442608.53634459
92,102167529.83869453
93,102774668.61363617
94,102441867.68751453
95,102919850.16697495
96,102893449.09716378
97,103049923.30257387
98,103629110.58832143
99,103845559.49640535
100,104075146.95898734
101,104133363.52980301
102,105127206.14752853
103,105359695.26618375
104,104994576.14473599
105,106077112.8284471
106,106103386.04297775
107,106201097.00024018
108,105160222.92864911
109,104257382.7345733
110,104616272.02195299
111,103801613.05009344
112,104475974.2934882
113,104384835.38760307
114,103221792.45427623
115,103056897.14688158
116,103878804.39326073
117,103992757.64161326
118,103504886.26564859
119,104026458.15719402
120,103950256.67805529
121,103679637.18300417
122,103447398.62339772
123,102679664.09489432
124,102369523.96036842
125,101397047.50069192
126,100648465.34337723
127,100402489.22544046
128,99513404.37504989
129,100545509.34678108
130,100540513.19910237
131,100727828.3361769
132,101069949.69704661
133,101669582.09518735
134,102051040.2142736
135,102460652.74201995
136,102977956.0738081
137,103729417.87453496
138,103648997.45446995
139,103827426.01760912
140,104304203.66758904
141,105426191.56011955
142,104995102.83533397
143,105099843.11868018
144,104324957.97218654
145,105077207.45790528
146,105084687.13612714
147,105582785.35089973
148,105958867.49154852
149,105370224.3537782
150,105465626.91681807
151,105326135.92524841
152,103406912.3034552
153,103282138.75802833
154,102561875.16328554
155,103666374.28598318
156,103099317.0029288
157,105204801.6362552
158,104689970.41328564
159,105551045.4690536
160,104891137.33085239
161,105399705.27238268
162,105092298.04342338
163,103200142.21550041
164,103471258.38440582
165,103343076.0795959
166,104089881.66751313
167,104404948.53070118
168,104169364.60581629
169,104971689.08525392
170,104656468.26778293
171,103325285.79933633
172,103360269.68368472
173,103703187.517869
174,104583267.51537259
175,104541600.98725095
176,104541247.87275107
177,106258208.60328135
178,104307799.13343835
179,103274074.70941204
180,103701101.25496805
181,104171520.92929527
182,103903046.79649864
183,102190322.03904007
184,104125741.65625662
185,104176840.74683744
186,105276150.5657703
187,105298452.35594088
188,106602378.09876096
189,106772150.72766264
190,107125864.77931736
191,108428522.2607501
192,109274797.24846897
193,108967194.11828636
194,109773657.17355388
195,110616393.77810283
196,110053774.98446786
197,109863150.28548136
198,110437834.28039059
199,109641718.36654703
200,108062613.31368126
201,107137193.57464585
202,107851025.43114927
203,106772511.94579062
204,107315563.59730369
205,106165728.38034067
206,106844690.62449521
207,107067425.92440885
208,108936132.0485049
209,109025045.00481248
210,108388711.72798862
211,108456983.6458654
212,109174872.61296195
213,108661741.83738883
214,108184516.19440556
215,105658071.18598673
216,104510298.57731888
217,103976093.68172807
218,104496476.60577348
219,104775061.96036026
220,102088091.44751835
221,104457653.00072527
222,106056534.65621172
223,106795085.55896866
224,109162848.50385135
225,109368331.85936515
226,110301139.51303324
227,109729606.64494547
228,107968335.743788
229,106486573.61520621
230,108425207.81023662
231,108231293.50738469
232,107969785.29477678
233,110453984.25224468
234,110162538.53649944
235,109114239.43787237
236,110054853.36313683
237,111910818.30742167
238,114259341.30954033
239,113804080.74869743
240,115242919.67644756
241,115540159.77188677
242,114639305.78379264
243,115342680.70961516
244,114644302.57037567
245,115185097.45745586
246,115090685.19154388
247,116190001.26749156
248,114985312.93708989
249,113821249.30979498
250,115118586.25992778
251,117725422.90322539
252,115893378.28845854
253,114758653.7903267
254,113874922.89247002
255,115622244.56735656
256,112828254.87655516
257,111879746.91770805
258,109721721.09348454
259,109536410.07534343
260,112145067.66186345
261,109988915.89709684
262,109775838.80683531
263,111341983.371377
264,110402247.69304937
265,109799984.27394554
266,106725210.49781322
267,105751194.219552
268,106239768.16269633
269,107035007.47857994
270,108710811.37952898
271,107960033.78352049
272,107866440.22996813
273,110886295.74066082
274,111470768.0384804
275,109582261.60802531
276,112432258.19156438
277,112165224.21912187
278,110530350.17778593
279,109490674.25439397
280,109440031.8410175
281,110454783.0555144
282,111008952.88630687
283,112956846.6240321
284,111570819.15110984
285,114352273.54645482
286,116424543.37769426
287,116624324.82605119
288,116268529.69427532
289,117272708.64870536
290,118344562.11844085
291,118009901.91348009
292,117484139.05941857
293,119492584.52814989
294,118206121.57531762
295,119299753.85553905
296,119022177.0160725
297,118804189.7738267
298,118723578.898778
299,120438550.67690508
300,119859395.75192533
301,121241068.91862108
302,120970015.86166467
303,122861409.99931176
304,122770436.4331303
305,119777481.84381145
306,119149161.83387639
307,119504285.2247724
308,118818236.36815129
309,119926533.5464887
310,119833506.10432903
311,118626446.43386419
312,119031358.22296575
