,0
0,109644404.3752467
1,110245374.10669836
2,109732415.79691114
3,109703190.6311587
4,110848510.90316859
5,112362375.85804346
6,112330915.82649353
7,111964681.37564564
8,110766329.74669056
9,110833527.89257678
10,110388193.62932801
11,110803612.34230067
12,110960738.76732545
13,110803254.39150575
14,110969046.02888674
15,110306348.0283655
16,111997285.96935974
17,112230890.2515204
18,111370917.66601014
19,112167804.7278125
20,111958901.98127978
21,111832651.63135166
22,111864945.72587132
23,112118231.77283788
24,111989221.8121555
25,111867584.0975748
26,111705186.53449045
27,110902371.97517991
28,110570408.08384813
29,112194143.67724487
30,113004808.4333983
31,112400706.7058474
32,111979029.46633409
33,111884335.40838915
34,111510703.85586803
35,111957202.00253892
36,113371016.9441638
37,113728677.94832677
38,113646696.5473584
39,113291266.96812376
40,113410524.86566466
41,112933293.95959473
42,113121204.30121459
43,111216566.36108312
44,111020100.87319548
45,111882184.42874114
46,111096535.80538763
47,113215941.50688152
48,113287058.51676007
49,113203750.29670416
50,112499138.16711456
51,112886290.83482793
52,112360201.7246054
53,112745611.68925579
54,110750069.00802118
55,110791570.82070293
56,111658826.23991191
57,110777007.51649895
58,109493441.2525645
59,108523052.21731511
60,107878544.95019218
61,108085676.8158189
62,108460505.5219699
