,0
0,-522779.58017125726
1,996329.3771725893
2,-873214.7080768943
3,535982.9930261374
4,2468798.054174781
5,-760752.0075707734
6,-1194671.2842486799
7,-337325.38390916586
8,1147733.955243647
9,-1864436.9096513689
10,1569345.5853878856
11,-2021442.2684461176
12,-148212.94862499833
13,0.0
14,0.0
15,0.0
16,-1315.449499964714
17,-4565.039976537228
18,-5308.304034620523
19,-12098.305046856403
20,1027.7832788228989
21,-6646.7195011377335
22,3676.839244365692
23,4940.581976592541
24,-20111.21007809043
25,16926.03495362401
26,761.9990586340427
27,-10410.864104956388
28,4403.945473998785
29,-93751.8090030849
30,-107160.88762259483
31,12035.928208589554
32,34583.21556198597
33,-76317.10094988346
34,-161203.3392995596
35,118866.11550047994
36,-164617.11252585053
37,23811.980766952038
38,91230.57256174088
39,63659.904423356056
40,273228.9925459027
41,-120783.68730866909
42,166321.39139059186
43,90854.82635569572
44,-190515.90717545152
45,-413370.82365500927
46,71490.45183369517
47,-27215.09880527854
48,0.0
49,0.0
50,14847.16175609827
51,-1897.065499484539
52,0.0
53,-13306.667499542236
54,-15654.112444132566
55,17595.898565232754
56,18386.50400710106
57,-114489.71262302995
58,42450.31194296479
59,-210540.251062572
60,-84381.9536819756
61,106426.1602062881
