,0
0,145905432.9882046
1,147617605.45481485
2,147545572.07981527
3,147607959.67778563
4,147912717.39493495
5,147893254.6892672
6,147893254.6892672
7,147893254.6892672
8,147893254.6892672
9,147893254.6892672
10,147893254.6892672
11,147893254.6892672
12,147922993.65811205
13,147987424.1972708
14,148160484.47820204
15,147879111.47430632
16,147716091.4059102
17,148517208.62848395
18,148130596.9752743
19,148312087.2599769
20,147700407.19386214
21,148070935.68654525
22,148246699.48096573
23,148394321.8505391
24,147772492.70943773
25,146483209.69567284
26,147264294.38394445
27,146619968.21697238
28,146633378.49847513
29,146665605.63874882
30,147492506.0704217
31,148001177.76886398
32,148531369.00584966
33,148560075.59455365
34,149393425.94885114
35,150915205.6082381
36,150906305.9246705
37,151567473.65469572
38,152016783.61818507
39,151972154.4846299
40,151466629.9625794
41,150805340.86145005
42,151101067.74198404
43,149391074.14806032
44,148935146.9114906
45,149129621.96833816
46,150963199.3573202
47,150392179.95444137
48,150241788.170686
49,150241788.170686
50,150241788.170686
51,150241788.170686
52,150241788.170686
53,150241788.170686
54,150241788.170686
55,150241788.170686
56,150241788.170686
57,150241788.170686
58,150241788.170686
59,150241788.170686
60,150241788.170686
61,150241788.170686
62,150241788.170686
