,0
0,1161942.896030426
1,-82604.5513035357
2,177484.26402807236
3,721816.3546493948
4,-21974.706506371498
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,18553.768740832806
12,-20899.8712387681
13,180767.3837750256
14,-448169.3118044734
15,264295.1225941181
16,-12641.509752035141
17,-652837.7654302418
18,310436.128426373
19,-246300.71498274803
20,245733.54320907593
21,655996.9180771112
22,293792.610909462
23,-1011754.0582515001
24,-2569410.589305222
25,2893002.7349137664
26,-873023.1857851744
27,955021.7106924057
28,-1548013.1105544567
29,1016524.3313445449
30,1343284.1558055282
31,-110346.73720002174
32,1996956.059084475
33,1786743.664699018
34,2714858.7321472764
35,-603344.1816650331
36,-1697775.3110529482
37,925169.6674738526
38,416798.14868432283
39,-708425.2291330397
40,-417392.6186923981
41,1907284.637868166
42,158043.69354313612
43,-2110871.8408988714
44,587412.157843709
45,2664477.3963986635
46,-1215488.8574249148
47,-192303.67122775316
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
