,0
0,100000000.0
1,99987285.5301667
2,100115262.74551384
3,99639798.69431758
4,99670166.27120386
5,98806701.63392721
6,98943439.6486059
7,97386753.37476006
8,98265315.32780337
9,98508495.54993111
10,97322374.4427406
11,96335490.17378734
12,97661370.27548729
13,95244612.34843382
14,95073442.46912108
15,97631237.18521413
16,97755857.19940084
17,99047496.1232759
18,97571697.79639012
19,96670830.68814838
20,96212016.08446486
21,98029657.60938875
22,96676920.70531325
23,97735968.59596418
24,96768364.99461524
25,97968236.27694854
26,93932641.54118012
27,94674511.1669027
28,93782337.40702835
29,92742635.2695352
30,91366627.98628058
31,91392721.84845793
32,89479093.55845624
33,88806455.65030842
34,87326177.41677521
35,89254697.25188045
36,90196242.53921859
37,91449207.5877908
38,87829775.22039013
39,86970989.67942543
40,88317566.75733703
41,90467285.4880054
42,87270459.75238925
43,85788342.23097771
44,84652621.52024148
45,89435183.88911137
46,87035651.07092357
47,91237888.6606275
48,93025091.92256302
49,97133186.41264908
50,96841052.89115706
51,96108499.47540453
52,99023268.82823576
53,101512002.2328513
54,101520721.0130453
55,105125723.57939264
56,103392174.80477583
57,99253055.0388912
58,98085830.19413154
59,99871343.16311198
60,103389781.6826263
61,103825583.38215315
62,104451227.58899029
63,102779366.43111196
64,101015859.71392398
65,104752095.64556168
66,102902722.6773839
67,101106114.22251311
68,99987078.535379
69,99374093.8792009
70,99501571.61404881
71,100990576.80021277
72,101414859.87451544
73,99223810.2884606
74,98958705.29504038
75,100005220.25542453
76,98365066.69661164
77,98810717.61752962
78,96537148.6995199
79,99391544.06139533
80,102475320.49595791
81,106425431.09992829
82,107996231.68554153
83,108549284.72927758
84,107070719.40042162
85,108137322.28646955
86,105661611.3566574
87,107001645.82002094
88,103493703.77538514
89,106703162.40300025
90,107755136.034162
91,106980892.97893403
92,106222541.62395692
93,108027939.74298961
94,107589709.55112739
95,108575713.53336854
96,108575035.7309961
97,109455987.15285197
98,111054480.97833768
99,111885791.21145703
100,112240849.18792331
101,112069715.0157846
102,114238786.15015672
103,114900412.20876215
104,113680883.87262152
105,116227406.98425072
106,116142779.34313512
107,116950199.64597845
108,115177429.28729886
109,112851334.560202
110,113842605.40516603
111,111693789.6890443
112,112850456.42145932
113,112691514.71561801
114,109354806.2488248
115,109175027.76344167
116,111695155.80106103
117,112379849.59688245
118,111153007.58884269
119,112599005.4998883
120,112064243.49307485
121,111920056.42839989
122,110754915.10642588
123,108944026.84813134
124,108634895.87327236
125,107131558.84283538
126,105564564.34973039
127,104872270.5759907
128,102805407.12488192
129,104589937.12260251
130,104369475.40548265
131,104964949.06283647
132,105300118.00669101
133,106991950.79340932
134,108688839.04116993
135,109702430.02128527
136,111512041.40667722
137,112942358.01024543
138,112444531.69818857
139,112879360.21784966
140,114118256.891594
141,116934605.09066907
142,115784357.03453013
143,115955362.07335883
144,114122761.8028538
145,115984234.47481214
146,116165588.6858937
147,116666398.80300713
148,116851645.41468735
149,115437151.95374714
150,115954449.1182278
151,115699470.10351422
152,112340841.05153081
153,112040030.63736232
154,110519830.51866923
155,112442304.46399081
156,111771894.14649153
157,115771836.40006378
158,115197180.36030698
159,117059806.33694702
160,115569058.77131644
161,115878055.01685351
162,115257026.93993776
163,112026220.47662401
164,112673120.32524425
165,112540216.18903925
166,113873980.82146382
167,114476418.02076362
168,114135391.78511593
169,115817046.12193175
170,115048332.9390689
171,112423103.95566219
172,112736587.74157818
173,113363986.92152172
174,115148165.297226
175,115695417.10978118
176,115695417.10978118
177,118389288.45304146
178,114523274.28201559
179,112969263.47863203
