,0
0,-434590.25805166364
1,863604.4414068758
2,-26715.720576047897
3,1019835.3484371305
4,1063547.3293986917
5,129902.62913000584
6,-1703843.3495143056
7,1726018.102039069
8,-144025.49904102087
9,1759671.1446452737
10,1117803.703262806
11,-75231.61095434427
12,-1249.0976667404175
13,417276.92068871856
14,2441347.4859962165
15,1035279.369326055
16,-750496.832382679
17,470741.1269789934
18,-596505.3132416904
19,611508.9150331914
20,-3534476.5019354224
21,3494996.464786023
22,249278.5053347051
23,-418585.2084917128
24,123690.23938918114
25,971011.2749271095
26,-1303.0188008844852
27,1944862.9398172498
28,1299713.0166507661
29,-396736.95119568706
30,-331994.70052966475
31,-902318.6218563318
32,250369.6973824501
33,-1268191.4142674506
34,-1652301.9226956666
35,-2235104.1844388545
36,3003084.681198001
37,342021.7825983763
38,1368637.8776915371
39,-788811.4159869254
40,-265380.5916621089
41,-1421663.1814049184
42,-269861.16293492913
43,1874764.033144027
44,-89405.85470250249
45,-259049.28608068824
46,161907.06803917885
47,911358.6960081756
48,89789.68630689383
49,-1116582.3280424774
50,686018.3960424662
51,-1939210.8291780949
52,18583.256798952818
53,-600.6870002448559
54,-598.8550002574921
55,-598.8550002276897
56,6071168.258515388
57,816233.5122531652
58,-629.1719998717308
59,1231817.4273067415
60,1427964.5413513184
61,-159229.9013055265
