,0
0,100000000.0
1,99996383.04982556
2,99960241.87934871
3,100011622.65420647
4,99959503.9081066
5,99958192.34126265
6,99940565.47663034
7,99952674.57460788
8,99812094.57832743
9,99739654.24966033
10,99934256.50184879
11,99995183.05186078
12,99833183.34086016
13,99994152.83060509
14,99946491.8963409
15,100034254.6954755
16,100214558.46927606
17,100171054.30330315
18,99901594.64211163
19,99918773.84431475
20,99828487.90535727
21,99903444.56128362
22,99344935.49066764
23,99310635.4099015
24,98867788.89474076
25,99531373.82745023
26,99669286.94957574
27,99546979.38954327
28,99832329.67729974
29,99680974.86726958
30,99774518.90084293
31,99693460.41174822
32,99585545.08738784
33,99733654.59675679
34,99829024.70375292
35,99646351.01418228
36,99595679.20060721
37,100186376.0830773
38,100319641.60164699
39,100385713.06942508
40,100275163.742684
41,100003852.90766445
42,99897418.16781838
43,100185494.30202492
44,100194661.24677077
45,100499073.65570484
46,100429549.90434411
47,100364797.06693345
48,100388494.85892473
49,100119667.4504805
50,100504651.40598077
51,100429402.74312945
52,100295007.20511542
53,100515603.76873824
54,100769161.93992291
55,100776845.0864427
56,100539140.3308436
57,100439320.88680479
58,99726216.00808886
59,99778142.97131872
60,99333836.82390851
61,99458504.63072833
62,99587632.47507355
