,0
0,100000000.0
1,100011701.96746303
2,100019003.06946303
3,99935330.26085268
4,99925399.64893977
5,99883178.51993959
6,99847072.94793941
7,99752424.15971297
8,99785063.2382797
9,99784631.16427968
10,99719959.7972797
11,99463554.65276946
12,99551391.86915638
13,99357584.0841562
14,99186659.36715603
15,99545251.41682254
16,99696104.05182236
17,99870440.96475402
18,99080371.25675403
19,98671756.99183998
20,98826076.76743732
21,99031667.26547003
22,98928354.9611369
23,99038303.07251132
24,98904328.87651129
25,98901037.70106354
26,98907160.79673041
27,99066955.60108526
28,99115653.7151434
29,98937916.04854833
30,98591269.58434667
31,98375815.03734288
32,98025550.66400975
33,98026021.678494
34,98401393.55604833
35,98954959.21589936
36,98900317.92006624
37,99228816.29562229
38,98812421.442363
39,98518912.04428865
40,98576020.94228847
41,98431225.0272927
42,97861751.2337844
43,97818676.3914509
44,97737953.82964963
45,98796386.2429631
46,98333799.85117404
47,99040157.98884086
48,99602597.02041489
49,100025118.88669859
50,99468141.2867445
51,99330066.78284876
52,100273794.94526128
53,101239622.0574825
54,101267501.33841172
55,101272075.496879
56,101022183.54591952
57,99610969.75391972
58,99559262.84875321
59,100242353.1730633
60,101293055.56172977
61,101311271.22893532
62,101127190.61626878
63,101295467.3559356
64,100247270.24830084
65,100318794.781773
66,100257686.05310653
67,99383677.05744004
68,99392291.73580576
69,99724512.76644789
70,99928261.24578969
71,98838537.35029407
72,98180809.79229389
73,97943944.3274231
74,98385490.33736938
75,98958616.54710639
76,98196108.48837349
77,98302932.269436
78,97851823.9541611
79,98868128.16488522
80,99457458.658694
81,100729145.57352714
82,100257650.50456944
83,100337995.84806943
84,100063694.99851914
85,100373357.39468566
86,99395592.91905656
87,99670059.47805655
88,98540425.55056144
89,99436685.1352283
90,99626152.68632519
91,99772387.99736212
92,99078304.4521507
93,99205720.8258172
94,99025553.84250355
95,99467511.84333703
96,99461256.06233722
97,99309367.87675275
98,100593404.41717464
99,100597993.60617483
100,99864866.99776565
101,99290242.22926563
102,99596986.50101613
103,100484167.33218293
104,100613450.86134973
105,101383196.1646933
106,100964285.46170744
107,100591382.72566919
108,100238503.79266918
109,99692860.68625608
110,99921362.08558959
111,99599506.3702564
112,99974888.08395055
113,99750498.30211413
114,99029603.26111427
115,99347379.49019495
116,99927277.54519494
117,99888320.46018323
118,100085956.69567084
119,100745137.11272795
120,100547640.59439477
121,100095242.5447689
122,99694537.606765
123,99441731.8170982
124,99491028.08867082
125,99258536.97512151
126,98185530.33092369
127,97897751.22771068
128,97475514.97721079
129,98224332.88406149
130,97875195.10340184
131,98375371.34040196
132,98212204.26220971
133,98932469.7521171
134,99174920.73930588
135,99460273.23166183
136,100355607.86432864
137,100737518.73951986
138,100814242.71621048
139,100080046.70075765
