,0
0,275666.6911331117
1,-361368.92915150523
2,1206430.2114982456
3,628815.7196777165
4,1676701.0276570022
5,101489.69570061564
6,-168779.92293781042
7,132098.42588238418
8,652205.8676541299
9,46633.33805398643
10,72177.83392581344
11,-630300.3471817821
12,-3441.171479359269
13,142984.6990004778
14,-2736931.7004108727
15,-2361155.6825479567
16,-1737622.8599603623
17,176172.36645126343
18,-440818.28040637076
19,-528026.4397235662
20,892901.7456399202
21,-1038870.970564723
22,1206316.0253809094
23,-374862.0173331499
24,-964229.732074812
25,-13862.170344129205
26,-1008013.7117023468
27,-367282.7852990329
28,165259.19159810245
29,462336.31808660924
30,-1003517.5806758553
31,-141344.6507677883
32,-2200566.140132919
33,-2065382.3323877603
34,-65149.799731224775
35,3215022.471617326
36,-368910.4477415532
37,668967.3513744771
38,2014587.6872550845
39,854952.3759026825
40,-36858.98350341618
41,-1390384.191015944
42,940962.2892813683
43,-653877.4140206724
44,-633220.6550050378
45,2734848.226701975
46,4481.911465868354
47,-302875.43842308223
48,-93004.62328881025
49,-275501.58581092954
50,-552384.0765803009
51,2984895.6794459373
52,-431878.376723662
53,3286255.531098932
54,-21597.19761645794
55,-986742.4444984943
56,762824.8715233803
57,833369.0954175591
58,-1341799.5812969357
59,-997431.3081193864
60,-689337.6867939383
61,411496.17318461835
