,0
0,118675964.52692416
1,118807914.64598978
2,119823083.22458358
3,121438020.26355363
4,118191398.37425373
5,119933423.14484292
6,122534530.1497117
7,122508988.53366739
8,124276672.19363174
9,125361445.98188102
10,125524927.48948954
11,124926627.42500304
12,124493216.73591638
13,124975839.7675299
14,126441472.75951163
15,124663810.26513267
16,125182097.58678687
17,124645204.27929476
18,126414569.87003183
19,121671705.82541338
20,124434389.65013322
21,123067968.51624757
22,120174960.44488022
23,119560649.25022005
24,118269472.31647407
25,119902744.6675004
26,121615473.57303014
27,121648374.08365257
28,120255975.31342247
29,122087224.9079196
30,121708171.90564652
31,122097446.47453156
32,122580609.00292628
33,122761093.75353861
34,123897505.56643781
35,123576949.08889148
36,125059063.07182352
37,122936513.09631525
38,124287776.05225949
39,124457659.60917728
40,123865010.40838565
41,123899062.67727521
42,122441386.69733596
43,120465873.72446324
44,120680522.01944944
45,123260266.98867911
46,122562759.45940536
47,121592145.33696468
48,122756024.47801197
49,124003296.28490618
50,123793230.4565795
51,122928114.22038051
52,123149471.92982735
53,120674656.3791183
54,124292089.87140581
55,123752953.34195772
56,122480690.88750912
57,123051210.61925468
58,124651550.48455189
59,125062804.17981353
60,127312520.05693732
61,127417326.28791665
62,128048991.88557237
