,0
0,100000000.0
1,99985061.74436763
2,100058708.49782869
3,99542676.27091128
4,99427233.97330067
5,98978486.39070712
6,98855934.96901587
7,98046489.00324816
8,98482691.23729478
9,98624466.96627958
10,98118368.04826206
11,97499100.07901855
12,98146506.17526758
13,97042986.2815637
14,96758397.4874644
15,98195074.09742394
16,98562280.30212109
17,99393281.1282344
18,98447748.03097777
19,97906059.90446319
20,97873195.77201024
21,98572322.71337634
22,98103307.50656071
23,98710360.0174357
24,98245261.58003825
25,98662379.78624994
26,97135601.69296277
27,97471563.86581628
28,97190479.1406844
29,96814346.1982482
30,96117937.96195969
31,96344408.14418736
32,95342954.35765685
33,94734919.67657256
34,94157348.41837704
35,95843842.76071219
36,96321218.62797345
37,96948601.45246018
38,94767460.30839622
39,94155952.31450477
40,94824926.74020013
41,96078461.88166015
42,93437473.74159007
43,92774569.8860161
44,92303331.60931472
45,96089739.22074817
46,93618870.18875055
47,97257186.99248438
48,98431649.69406617
49,101877411.82227202
50,101813191.91335212
51,100373130.61771804
52,102380107.40119201
53,104859757.39370364
54,104210327.05534211
55,108307058.82581164
56,107737875.55098566
57,103625051.32130538
58,102782830.72941056
59,105327018.58176483
60,110259187.02775306
61,110604847.33551216
62,111731390.36501305
63,110882771.59389447
64,109228292.4029386
65,112919150.65618537
66,111473890.34073016
67,109643772.82151622
68,108324373.43392198
69,106910539.34823036
70,106505677.25469488
71,108637813.41016205
72,108538979.32007548
73,106216526.30088358
74,106472592.20934953
75,108135722.54871103
76,105805434.97687225
77,106850087.666147
78,104380067.70968454
79,108428645.34379058
80,113319286.83303022
81,118076309.49301761
82,118792273.54017702
83,117990664.15647408
84,116516443.6818079
85,116925105.53776866
86,114007931.7142039
87,115462850.71934624
88,112226859.10360473
89,115741884.5568574
90,115493236.81231195
91,114386794.22374047
92,114638688.4261284
93,115875194.6662969
94,114922714.58174278
95,115943681.7468795
96,115968938.37552433
97,116974357.79073285
98,118063231.5690038
99,119869554.70487218
100,119974557.94006172
101,120024030.67947635
102,121032216.28119336
103,122380425.32856618
104,121532796.06134386
105,124096535.70996848
106,124079347.58437769
107,125309776.95515507
108,124036271.11831322
109,121075687.4882197
110,121998328.13947736
111,119548376.0397346
112,120681781.59640186
113,120523557.98053768
114,117009983.49297535
115,116797647.58256707
116,119930022.32825303
117,120835690.27614602
118,119309593.12200172
119,121315918.40914325
120,120371135.21552365
121,120319980.62077884
122,119400395.78000505
123,117645080.38890189
124,117183531.38655542
125,114337517.94331786
126,112367559.48047405
127,112055581.14952596
128,110090899.48502995
129,112591315.62518819
130,112408839.12264356
131,113121572.36721644
132,113151155.48114374
133,115707660.15513372
134,117900488.20753728
135,119311624.1015924
136,121644017.01055561
137,123294471.46570146
138,123592582.11816755
139,124382807.29856344
140,128360341.62382457
141,132170997.7703322
142,131936288.90766726
143,131761784.84847943
144,130537486.6867784
145,133755924.08064717
146,135052349.04680827
147,136118901.18007904
148,134688477.1502875
149,132704508.11651827
150,133937482.2267631
151,134547949.6650604
152,131492669.85288505
153,131106029.66862102
154,129812197.288097
155,131604716.89071472
156,130574797.09833238
157,135219440.19651765
158,133787892.00619365
159,134706497.56134516
160,132928388.72829446
161,133079385.15383753
162,131815387.10627048
163,129110973.66287695
164,128958621.1883067
165,128981030.1124683
166,130752406.32093883
167,131060791.66968268
168,129616816.59072173
169,133684252.41163754
170,132833926.59788345
171,129653337.1540347
172,129818251.4590582
173,131493708.355684
174,133407250.30976117
175,135463385.60596973
176,135463231.60019517
177,137499268.5101838
178,132631828.99093823
179,128700895.93937063
180,129412146.74489455
181,129265867.48673137
182,127187749.73618211
183,123069451.41881576
184,120514819.61925022
185,120961551.05757363
186,122616374.01118982
187,124122007.10380055
188,126370496.06083804
189,127019817.95804867
190,125814184.17803104
191,127466491.66410145
192,128593124.65570997
193,128591616.40636998
194,128700377.49543466
195,128447020.62706017
196,127234911.69258536
197,125413327.86266111
198,126343712.3220391
199,124692694.64943106
200,124727731.65277629
201,123327376.90781619
202,123523444.46365352
203,120717852.97463477
204,120759598.70818405
205,118978989.5867952
206,120093147.1769727
207,120098976.88137385
208,120305999.55435944
209,120958855.47039095
210,120794375.80821958
211,120027684.72911128
212,119494614.31399669
213,119566680.35385606
214,117372472.17080916
215,115361797.82785347
216,114577848.5610281
217,114210144.44059812
218,116298738.76656419
219,115360840.23148522
220,111211708.77066453
221,115448547.39761353
222,117165120.13979322
223,119535710.04132073
224,125243131.06519493
225,126022497.00611444
226,129441801.50720023
227,128513015.61417486
228,126020631.71239641
229,124047845.1602665
230,126857133.34639025
231,127297902.87553027
232,127191833.34987725
233,128974299.03338268
234,128996186.14519471
235,129923236.17907569
236,128531309.41513577
237,131133192.21035832
238,134414827.37388265
239,134302451.46833208
240,134566513.67141905
241,134052668.15096214
242,133044943.65948988
243,135367127.97115734
244,135104855.3202547
245,135454187.0650169
246,135534814.77070248
247,136537640.23887894
248,139113275.7846466
249,138665382.293836
250,140615239.57464835
251,143378483.1056148
252,141488922.5572663
253,139175936.2066819
254,137362065.5503782
255,139387239.517701
256,136652193.96702155
257,136056360.49712598
258,133024058.3102517
259,132100546.91595772
260,135077386.14579016
261,131837698.25885026
262,133223351.95656775
263,135212670.68134403
264,135993325.83947843
265,136358290.76350743
266,132916987.7058928
267,131198601.03340438
268,130384763.80668071
269,131716445.30143905
270,132178783.14005192
271,131929303.79271159
272,131655413.20902109
273,136286954.6706949
274,136521566.85313538
275,133841268.33653758
276,137701263.7230406
277,135883817.37984866
278,134264924.47322527
279,133063550.76904023
280,133413239.23254211
281,134038363.74794915
282,134856900.13860568
283,134751093.451148
284,133712389.2076616
285,135505094.6396686
286,137068171.14125833
287,135311753.45583433
288,135700010.9226597
289,136755887.81693482
290,136905526.0769975
291,136941356.72336558
292,135880457.11148635
293,137048543.69761255
294,136918867.74483228
295,138452597.46557295
296,139421075.3326403
297,139619452.04597536
298,139967811.576405
299,142372665.38093933
300,142153943.03620487
301,144273960.89202768
302,144530481.66023365
303,144870871.12522104
304,145152342.7816951
305,146627796.45839962
306,144791757.8940435
307,143748604.27458072
308,141950948.12617385
309,143211783.40579924
310,144388688.26862422
311,143231386.9812702
312,142634224.12937897
313,142913485.97161445
314,142325505.42431092
315,139647438.35964128
316,140313393.43135962
317,142983898.5047095
318,140658344.22290626
