,0
0,113189.13385251164
1,1300677.827422738
2,-712585.4737299681
3,208366.55058300495
4,2378932.4171491563
5,-873270.904733628
6,378814.4387586713
7,-264021.84131011367
8,1837372.4701274335
9,-1322538.6349719167
10,1697532.1553588808
11,1741821.3910982013
12,-150405.69839712977
13,0.0
14,0.0
15,0.0
16,-425.7800000011921
17,372.0170739889145
18,5106.240500003099
19,-12212.963999986649
20,-16584.074759811163
21,-2622.275833785534
22,6369.879000008106
23,-5430.859499961138
24,-4266.3100000321865
25,4392.385000020266
26,8701.191000044346
27,8209.275499939919
28,5252.920042961836
29,-30778.622665017843
30,-40961.14315870404
31,1765.8066670000553
32,2661.155077815056
33,-24258.910011708736
34,-88183.09183368087
35,34534.098333239555
36,-2339.658000022173
37,25220.96400001645
38,21484.35587155819
39,-17506.348255842924
40,45027.3771494627
41,-20179.888422250748
42,66545.94113886356
43,47233.466595709324
44,4840.804796516895
45,-70710.82421672344
46,34329.545370697975
47,-7858.747665286064
48,0.0
49,0.0
50,5581.7337402403355
51,-598.7743337452412
52,0.0
53,-15032.227665096521
54,-2417.4776921868324
55,-996.5341476798058
56,3987.5247793495655
57,-44919.97316664457
58,10155.007091104984
59,-65088.302590847015
60,-62908.48483300209
61,43626.86401927471
