,0
0,100000000.0
1,100000069.694
2,100010635.87
3,100002306.60499999
4,100000252.23666283
5,99982709.42649607
6,99983371.93799609
7,99952876.1534846
8,99967890.63023251
9,99965871.72556591
10,99950136.59818438
11,99930279.92979306
12,99939111.14226864
13,99909249.30820186
14,99900908.65679853
15,99952716.09244953
16,99964587.66506587
17,99996711.84990469
18,99948618.18405706
19,99920150.30182755
20,99925838.90257634
21,99973583.82177751
22,99975106.44911212
23,99980250.90898229
24,99968087.34253003
25,99984171.6325249
26,99914525.49123998
27,99913707.35705385
28,99907316.16491543
29,99881069.84241396
30,99865562.2271207
31,99878954.80640672
32,99838678.40254202
33,99811241.23190083
34,99804144.56393377
35,99839182.09293094
36,99825756.48337048
37,99860114.11007439
38,99803681.69705875
39,99771849.90416896
40,99779518.52405813
41,99802299.0897809
42,99758512.15857828
43,99740761.52319692
44,99736784.36676764
45,99810351.9692523
46,99752169.73129587
47,99826810.55957302
48,99883187.31072758
49,99948585.05388847
50,99961237.9120448
51,99964117.9263507
52,100067140.61958586
53,100143426.81155011
54,100153133.88689218
55,100203574.63759018
56,100175092.97934942
57,100056498.93135832
58,99997800.11595958
59,100070399.1769507
60,100191772.78847988
61,100261584.73504363
62,100260070.90582485
63,100249942.26124771
64,100191755.70963733
65,100325125.47430272
66,100330048.59827541
67,100372547.32445657
68,100346374.13273151
69,100299433.14173813
70,100296589.0674236
71,100356918.09193774
72,100379061.21927099
73,100257449.11786534
74,100244206.28549765
75,100280323.79686533
76,100240536.73753284
77,100270679.2435717
78,100170194.6768129
79,100290760.16816732
80,100465495.5752221
81,100695794.50914948
82,100725931.58907513
83,100784417.78085831
84,100688469.05980363
85,100677121.05425711
86,100496281.0778948
87,100586442.46427372
88,100448155.97070594
89,100572074.64990908
90,100655538.12273446
91,100634569.32614648
92,100613656.41751209
93,100644382.64117053
94,100610852.16496792
95,100636324.89180131
96,100677265.3091842
97,100707239.06090763
98,100862942.77712055
99,100868097.70270152
100,100857317.87795639
101,100848936.0248413
102,100953782.48278266
103,101037791.97364238
104,100949016.34767106
105,101153643.02678272
106,101206364.83850916
107,101243040.81252074
108,101097348.59009911
109,100859326.28971316
110,100908951.03010744
111,100732863.5775687
112,100842971.92191318
113,100805012.9059338
114,100566003.75905488
115,100609670.58062507
116,100796228.56883991
117,100800734.63388804
118,100658877.96717161
119,100738186.08145028
120,100760197.3624505
121,100741538.67006269
122,100725567.76082101
123,100625181.60948765
124,100548839.20065156
125,100409956.17365034
126,100319772.869701
127,100277188.96529779
128,100123103.48243187
129,100287237.56062467
130,100256072.811172
131,100391368.09571396
132,100396271.25339256
133,100634029.11618032
134,100671259.67332861
135,100741015.30747387
136,100927392.37437451
137,101020253.19578709
138,101005772.18503977
139,101030328.48511471
140,101077726.47238971
141,101259526.41243134
142,101313105.36995696
143,101387609.92474377
144,101291912.67334421
145,101365769.8780335
146,101428359.34581746
147,101544331.20134395
148,101532159.31022547
149,101382632.1994027
150,101444258.58380368
151,101523617.47636119
152,101263124.01391196
153,101196386.19937764
154,101158356.61310592
155,101321554.90013668
156,101237555.13126156
157,101543683.28830408
158,101507240.25193994
159,101537769.7506018
160,101363562.48280884
161,101372044.4482361
162,101321218.48660025
163,101093808.52972233
164,101042925.21165861
165,101002991.77368705
166,101156060.41854338
167,101118304.49300517
168,101079228.71409807
169,101335188.97325447
170,101287771.92316711
171,101084067.0423933
172,101155848.21457481
173,101270969.73857272
174,101461343.10240768
175,101496764.36827633
176,101496384.70730686
177,101488219.37474276
178,101138381.01955478
179,100801083.77448595
180,100960154.47463687
181,100963126.09450142
182,100848950.24693161
183,100640321.89124814
184,100430249.6621944
185,100526965.56255169
186,100840776.85882764
187,100921597.7217373
188,101049786.34160662
189,101144626.00589615
190,101086015.5897899
191,101223607.80051306
192,101241720.60952623
193,101243354.64411865
194,101416748.1579961
195,101468957.17815857
196,101494195.69005145
197,101350518.36738312
198,101367549.69987649
199,101105091.3754811
200,101056412.73896377
201,101042656.37120305
202,101200757.1584284
203,100966067.89003424
204,100966744.9892918
205,100962009.26465751
206,101035166.13287455
207,101042012.5629823
208,101040180.62206635
209,101063164.66687739
210,101047266.28484331
211,101027718.34370904
212,100845391.28322995
213,100823578.40639596
214,100654749.00155005
215,100402930.73388015
216,100408571.9080547
217,100392761.66038845
218,100578150.5721889
219,100567215.88895403
220,100217887.35063604
221,100683376.35410501
222,100883395.09013863
223,101069203.14466073
224,101460173.06075543
225,101587685.1955003
226,101858611.86355962
227,101825336.83337764
228,101621886.47779615
229,101460841.7038278
230,101816703.56964442
231,101810686.44959071
232,101789902.8688316
233,101947303.69967562
234,101948438.10036762
235,101796646.80453548
236,101699471.22325164
237,101957944.44872351
238,102350050.69694264
239,102238624.46480763
240,102297028.60860057
241,102330786.9505426
242,102299953.36812824
243,102410289.76806717
244,102555789.58674093
245,102724515.30639495
246,102735831.29074371
247,102759707.68555793
248,102878087.19673273
249,102612889.09393622
250,103075128.67431808
251,103289645.89287251
252,103010009.54952143
253,102766485.86842962
254,102598308.67904209
255,102739204.46499537
256,102444524.04897107
257,102368848.35436006
258,102101513.90023845
259,101919134.0659602
260,102056404.83661333
261,101936414.70949909
262,101821825.7667538
263,102214671.76588587
264,102234688.71112072
265,102108355.70441912
266,101724362.6303034
267,101573654.92289563
268,101711079.30663459
269,101751945.71262984
270,101921372.34192865
271,101816246.42766425
272,101901598.95292622
273,102355324.49370442
274,102308995.12371084
275,102051372.08772835
276,102476326.01946788
277,102397208.85845064
278,102114776.53095455
279,102058499.53805174
280,102074619.17720324
281,102285957.44673936
282,102366741.16455764
283,102512406.25916557
284,102335331.59308353
285,102568184.5864197
286,102816422.08877818
287,102706395.1977848
288,102711476.94752945
289,102905181.88129899
290,102967154.87471767
291,103034603.74117102
292,102919509.93648496
293,103036454.29947849
294,102925760.07700093
295,103111110.59360799
296,103198773.23413675
297,103297776.26988253
298,103338523.04283366
299,103543105.69855663
300,103495918.48485333
301,103869111.71108624
302,103831848.43751152
303,103963620.6911815
304,103994883.77481729
305,104201816.78673403
306,103994795.17802306
307,103958117.55745918
308,103807863.44957832
309,103779396.23564325
310,103965187.48666997
311,103864882.85779889
312,103850768.28041825
313,104044618.97520989
314,103842033.21052606
315,103389321.65483496
316,103317362.1200612
317,103550235.05628806
318,103267550.05000198
319,103308736.62639233
320,103685815.3204729
321,103612783.19588232
322,103265613.9991748
323,103332849.16898564
324,102676154.97826749
325,102307139.93696143
326,102585457.12704055
327,102199456.69547856
328,102219429.22729637
329,102562764.67153104
330,102279733.4682925
331,101887512.47716904
332,101698271.91252474
333,101650909.7111361
334,101326139.2530172
335,101006694.66729441
336,100954490.94838612
337,100414098.82106213
338,100608042.73027273
339,101109666.59895733
340,101340579.11564684
341,101222513.23308545
342,101070198.32708943
343,100648148.57829538
344,101200604.87347256
345,101176033.28249258
346,100410943.43573505
347,100500535.80083206
348,100319542.13059707
349,100410496.756741
350,100555485.83865215
351,100775882.57843547
352,100638098.38446428
353,100987660.82683069
354,100841792.94184038
355,100730740.08270903
356,101329016.2664638
357,101011943.19945711
358,100717384.09867401
359,100705445.37326202
360,100240676.50340727
361,99997483.09415464
362,99749656.8591672
363,99537814.48689444
364,99238823.87825906
365,99177957.09187272
366,99342615.0801875
367,99684277.41221988
368,99586691.00869174
369,100074620.88531291
370,100323735.26417229
371,100330091.54182927
372,100330581.30273136
373,100804502.36827236
374,100497096.19677615
375,100206002.96699862
376,99752961.28639041
377,99544659.252667
378,100084026.24851611
379,100121012.81023867
380,100001860.07191664
381,100682552.98389672
382,100528362.14431152
383,100519067.30661987
384,100527815.5986556
385,100921780.44642295
386,100573833.57275862
387,100751658.22308291
388,100767307.07799003
389,100476855.87531671
390,100392393.89006704
391,99797833.34370603
392,99732049.11963594
393,99696580.08384761
394,99480283.35409732
395,99482584.92700894
396,99828941.87486331
397,100208144.25820145
398,99953472.34161763
399,99856028.83948663
400,99689390.48240443
401,99347149.10663693
402,99479059.55959411
403,99704224.2971119
404,99978024.16428083
405,99242676.6970279
406,99395171.68942606
407,99674598.60415709
408,99708252.62515217
409,100175201.79961072
410,100010856.58812599
411,99600330.90310526
412,99857072.10788895
413,100182201.6726449
414,100308503.9690949
415,100319462.11013567
416,100516039.73707268
417,100760736.46800365
418,100686378.54751495
419,100567879.30447868
420,100283271.56753433
421,100711149.1755911
422,100549892.86983874
423,100764178.72909607
424,100415863.48231778
425,100284020.63433132
426,100196275.23987867
427,100402267.45613989
428,100803452.92018653
429,100589825.33506532
430,100388555.83845341
431,100222353.2723015
432,100203492.71714622
433,100557217.85014687
434,100307347.5486971
435,100322991.17864037
436,100277270.324015
437,99980815.04120368
438,99882792.15357347
439,99988537.76065445
440,99934926.64608821
441,99757161.44272986
442,99962527.49738441
443,100272158.87242144
444,100038422.3794347
445,99935234.97148447
446,99997464.22652107
447,100288382.37310833
448,100941738.56419235
449,101003608.42387132
450,100875220.8778085
451,101296801.69938943
452,101359880.49776113
453,100892683.42309448
454,101050939.82066418
455,100950739.95275351
456,101030028.28208287
457,101503114.33363971
458,101445392.70735045
459,101621938.92473525
460,101275320.79031116
461,101368512.36860196
462,101394663.9960618
463,101585523.23369431
464,101178104.91475266
465,101256851.63155736
466,101611117.13218474
467,101729632.11993639
468,101792878.16414194
469,101822643.00940347
470,101959615.79663476
471,102001854.62905754
472,101799109.5350539
473,102013862.49447617
474,102248745.84611225
475,102326497.59615292
476,102306062.97550417
477,102153082.03122526
478,102022988.83883694
479,102089298.64085962
480,102227850.65749156
481,102200358.04515447
482,102369935.8053178
483,102227956.98478712
484,102246387.8691199
485,102097471.45181327
486,102686227.36795168
487,102705729.41561869
488,103122135.34814551
489,103080919.32905024
490,103027664.98802137
491,103076424.22267893
492,103221913.46880561
493,102861778.11719865
494,102800162.98883457
495,102942366.16882509
496,103103508.44118105
497,102654545.87068103
498,102044347.73128247
499,102192168.23769706
500,102634456.50578797
501,102223315.71498543
502,102342537.91964057
503,102050663.0197056
504,101469349.52355008
505,101520226.59382038
506,101879527.33417864
507,102087519.14898512
508,102104433.95504145
509,102346264.468901
510,102409240.31620598
511,102200749.88062419
512,102049613.27571796
513,102325583.9164992
514,102435350.54161598
515,102535033.81286485
516,102887880.26864745
517,102878100.56069763
518,102916040.58369835
519,102406618.34658228
520,102044695.57641408
521,101703730.19837698
522,101826411.84614553
523,101966808.08441836
524,102173700.44778517
525,101726467.66874133
526,101765221.92724133
527,101951721.41689207
528,101574248.94912435
529,101373271.76730344
530,101419679.2126367
531,101197450.09551768
532,100562561.33323473
533,98671851.52024749
534,97085353.13374111
535,98526849.90427773
536,98148565.15948355
537,99083018.32703856
538,100203622.19856802
539,100092214.11681867
540,100090194.91394404
541,100374137.28144881
542,100225781.53932756
543,99793061.85032725
544,100246408.86756824
545,100259372.45427528
546,100255562.20548461
547,100402704.3322403
548,100062205.82472114
549,99916600.9353834
550,99789573.92292476
551,100025059.7529986
552,99998383.13202311
553,99498427.19099475
554,99508033.16171174
555,99492450.74325904
556,99169278.739249
557,98887794.303249
558,98552439.58397636
559,98736540.52604906
560,99226934.70039402
561,99208729.74132296
562,99240933.91765636
563,98916127.0415938
564,99220355.9091057
565,99483131.10451856
566,99847457.98086877
567,99476303.89841372
568,99593815.90864976
569,99609087.77344169
570,99476363.09014603
571,99070840.75917111
572,98794485.59428047
573,98450588.31984138
574,98603165.11127102
575,98899946.13436869
576,98728130.63964996
577,98565909.56162639
578,98267033.59245427
579,98090727.26975842
580,98113883.16683535
581,98352346.91666861
582,98436036.35738806
583,98405733.88106655
584,98884777.44985251
585,98884266.70699875
586,98485657.03832507
587,98167404.58385882
588,97914968.54428352
589,98022442.65537167
590,98218516.95003483
591,98173507.16199586
592,98298267.50661492
593,98046134.66840568
594,98350120.5343054
595,98495959.22661178
596,97888819.54037546
597,97766258.1465965
598,97827524.99714422
599,98061008.13654168
600,98510994.99439535
601,98546206.83613594
602,98897303.76880199
603,98652584.09409481
604,98716946.69160272
605,99155897.3752752
606,99068412.16894719
607,99412683.97689183
608,99572070.80491258
609,99696431.45781471
610,100042728.96116565
611,100043140.03616542
612,100224022.03168464
613,99969783.83039571
614,99364922.31889474
615,99704672.6794978
616,99681448.74910806
617,99648475.81606193
618,99521049.34882602
619,99872254.9968793
620,99852646.87877083
621,100283989.95743299
622,99831328.47317569
623,100296892.08606896
624,100222105.61182263
625,99776620.06354286
626,99424118.22477955
627,99462908.32622804
628,99237195.20968382
629,98545576.57834712
630,98468378.50230235
631,97527385.63003261
632,96941062.06866176
633,96349603.29646705
634,96617371.02157368
635,96083353.43494822
636,96270480.0479479
637,96489671.33413433
638,96581877.82399483
639,96340330.51275037
640,95977056.22883415
641,95046308.94153737
642,94845725.1402242
643,95110069.23996812
644,94826031.25651896
645,95161192.44778888
646,95371982.10050644
647,95530918.53986786
648,95974803.39346808
649,96116826.97921531
650,96376243.20307079
651,95978221.83897239
652,95232780.21765037
653,94725628.90499395
654,94991701.76241717
655,94973278.17423743
656,94956685.44231701
657,94553809.88489032
658,94854861.29025452
659,94388080.91571197
660,94614970.45025486
661,95340092.78128251
662,94855383.07762039
663,94987350.10876052
664,94284072.1618475
665,93169264.15653694
666,94257449.15646982
667,94099476.96031258
668,94174590.5911457
669,94194453.8745518
670,93244011.04748061
671,92720264.31100881
672,92445693.73766938
673,93201831.24093378
674,93490642.12592365
675,94039246.35895604
676,94163661.37507463
677,94327437.29995708
678,94094687.87639096
679,94693034.9395675
