,0
0,130408192.31597602
1,129926060.57642542
2,130677827.54419996
3,130728196.28874023
4,131911761.84390417
5,132465435.51159021
6,132365253.23194116
7,130970545.4186737
8,132043903.66260503
9,132117413.64462677
10,133282822.96313299
11,135631744.71175215
12,135641742.93291658
13,135639952.69724822
14,135462397.17141026
15,137339737.21910375
16,138187346.4018302
17,137804016.24569294
18,137335642.2800247
19,136750071.6430578
20,137419730.1001036
21,134817654.9863736
22,137446180.49413544
23,137650173.83656684
24,136715277.04618278
25,136938181.59890077
26,137924368.15658313
27,137923337.34798107
28,139797604.22380248
29,140497130.10075536
30,139603300.99909422
31,138091272.82570848
32,136593523.8668761
33,137122957.46591955
34,135691357.22206774
35,133715092.46253589
36,132302996.70269328
37,135302932.61109734
38,135455628.3065468
39,136222329.9953367
40,135562767.1493919
41,134638424.33394298
42,133493315.55107787
43,133417138.65702826
44,135295843.0408112
45,134835366.22185966
46,134619383.07149267
47,134820106.18415624
48,135005743.67033747
49,135366703.0077386
50,134129750.13906194
51,134375305.08772087
52,132877451.44935541
53,132742936.5923001
54,132741471.91089995
55,132739414.04779997
56,132737061.92379962
57,138904257.05059624
58,139632269.8349052
59,139630622.1085711
60,140893964.0290224
61,141858409.63747442
62,141845904.20963615
