,0
0,62302.122974678874
1,-733870.4550409466
2,269097.9472143948
3,16511.002558782697
4,1377539.9800407588
5,114474.04710566998
6,513996.54738390446
7,230398.1271686554
8,508992.36335863173
9,-35475.220796212554
10,-265396.8885101676
11,-372869.36742164195
12,-244189.65234798193
13,-33082.83499857783
14,-2069306.2750968933
15,-1798188.37548846
16,-1481929.0102438778
17,297217.71051488817
18,-660808.7931801975
19,-267346.9474673569
20,1163515.09220846
21,-934251.2537073344
22,1023924.7293055058
23,-636363.537255317
24,-880052.067181021
25,-266626.4220148176
26,-671788.6766223162
27,169843.46457709372
28,523286.68873538077
29,533563.0760573596
30,-685489.7920889109
31,-191211.1858703196
32,-1587339.7175814956
33,-1226519.8701393902
34,8257.995794564486
35,2132505.554328099
36,-688534.9122492969
37,446400.41952471435
38,1396892.8703732342
39,1050571.5793664157
40,-187918.94414061308
41,-1000761.1605364233
42,558102.236302197
43,-531710.2409017831
44,-493361.46642646194
45,1957700.8397134691
46,13089.141878917813
47,-135771.21990196407
48,19984.530192255974
49,-398600.09577202797
50,-315867.3856205493
51,2135608.88426809
52,173051.36383414268
53,2956909.8476673067
54,641661.0612275004
55,-1139797.463876173
56,676256.7267537713
57,310457.59419058263
58,-989572.0988931507
59,-1081358.821389407
60,-662777.0333329588
61,547997.0117962956
