,0
0,116818508.8644957
1,114538971.60422386
2,115082928.39434867
3,115618768.46368597
4,113197163.3762112
5,116020664.78113694
6,115545306.15166856
7,114532953.02971256
8,113623897.91019773
9,113880582.75309558
10,113807617.90663983
11,113057948.40129082
12,113095226.6475814
13,112223076.47532208
14,113816134.6720555
15,113660897.92185013
16,113566482.61196451
17,112966136.72499688
18,113987179.43563652
19,114664129.56337702
20,114574709.03554173
21,113518935.70633304
22,113830443.11930197
23,112400815.15524462
24,110255635.12265031
25,113518579.48947151
26,114685509.4399568
27,114840615.59025493
28,113662960.30672699
29,115578805.66574228
30,115515224.96231455
31,115933110.00275156
32,116725928.62729909
33,116708165.4883504
34,117796224.80119579
35,116782769.12431768
36,117726335.93155758
37,116861764.10555951
38,118573644.94091398
39,119723298.47451356
40,120304425.14954092
41,118775699.65531959
42,118465727.8343084
43,116230968.24935415
44,116461164.5375938
45,118947882.63025531
46,117342439.39742655
47,117803992.80161992
48,118126420.68535756
49,118630722.7542459
50,118778049.14207341
51,119521653.10888551
52,119898889.51472424
53,116999150.17689571
54,118867943.27700157
55,118487644.70891985
56,116992859.70767485
57,117137596.02609742
58,118692247.69766821
59,119512167.85357416
60,121474745.20573233
61,121844653.9707977
62,122130383.16153845
