,0
0,105084217.29099564
1,106192008.31489871
2,106006057.5928902
3,105815235.97746107
4,106494823.83574681
5,106196581.71841611
6,105966835.62971452
7,106794419.12339285
8,106762212.87704906
9,107247408.30125244
10,108440919.82044612
11,109767933.0577224
12,109940766.84053974
13,107805266.63724695
14,106481443.99312964
15,107951995.51500311
16,108338626.34883864
17,102940470.90056063
18,110832960.85164888
19,110680444.82618944
20,112055181.69121873
21,112665808.57504961
22,114376065.06704175
23,114408925.3403838
24,115060727.12888248
25,115699695.43003495
26,115922107.05734491
27,117279928.9024228
28,117011030.67469807
29,117165069.25908355
30,116726453.02809894
31,117568172.58109584
32,119279609.63213728
33,118697011.82497062
34,117945235.18369277
35,118604599.36389169
36,119626045.3483975
37,122583231.55800286
38,123423120.13801436
39,123541223.79431991
40,123346475.72698104
41,123746540.18094623
42,123695460.32199341
43,124022200.42705356
44,123494264.99394262
45,123896779.1699748
46,123102211.98673771
47,122159128.82288241
48,121720501.03351031
49,122115794.5683664
50,122215447.5536993
51,120175382.8399642
52,120051616.12853502
53,123683718.89693043
54,124360726.81915264
55,124072511.79010557
56,123398031.42547294
57,124666388.4973145
58,123660803.52781455
59,124544528.19796512
60,123461150.23244262
61,121676287.4355358
62,122433777.75589105
