,0
0,100000000.0
1,99983927.88980514
2,100095453.61488913
3,99865042.96997102
4,99706582.11543547
5,99276097.67907842
6,99386857.6393257
7,98932539.18721515
8,99298308.50352968
9,99321235.00930342
10,98990379.22216539
11,98687533.43904273
12,99021427.42836794
13,98227626.76957658
14,98009274.82189249
15,98797296.95751147
16,98959695.98927754
17,99597915.65406261
18,98852242.55351335
19,98494409.16582005
20,98583730.5498783
21,99205213.84926586
22,98899413.86850227
23,99255036.20730643
24,98947334.43108757
25,99405379.37171346
26,98214148.05929323
27,98371847.09064308
28,98100823.59170803
29,97612329.11685777
30,96988132.51430035
31,96913715.95341372
32,96261477.65229365
33,96162093.93913507
34,95796256.55233161
35,96713112.50393815
36,96838398.95691198
37,97339532.28479397
38,96184394.90708204
39,95935971.26215437
40,96130707.05759682
41,96229390.42953601
42,95238932.41563456
43,94993549.74383241
44,94909534.33320493
45,96504375.64355627
46,95779146.09838757
47,97379619.45074785
48,98232100.77094802
49,99613028.21707258
50,99378401.93847781
51,99090874.86255473
52,100428896.93982968
53,102005180.40047747
54,101769029.45857675
55,102946351.43773375
56,102455092.7376047
57,100432706.09031445
58,100136276.38979077
59,100988761.94018552
60,102557121.68591996
61,102640628.96677804
62,102564445.32825793
63,102356359.5795816
64,101249289.83570334
65,102172599.4414283
66,101615237.60713291
67,100719448.5047214
68,100400202.64541137
69,100438678.44622405
70,100715335.7351627
71,100303438.68638662
72,99762963.87929285
73,99178798.05188683
74,99593138.43409202
75,100305326.07820892
76,99177767.43693575
77,99325408.5931693
78,98320381.88810812
79,100260220.16990244
80,101765121.10061789
81,103297199.61925697
82,103297931.86539236
83,103062746.88273814
84,102788572.29992482
85,103110333.77848884
86,101862116.70124868
87,102598342.45142922
88,100763674.01793808
89,102038100.30764206
90,102302214.35496575
91,102089172.50181565
92,101651877.04970306
93,102336722.08417504
94,102020601.37537783
95,102637609.60847545
96,102602468.81926318
97,102695809.26263529
98,103750299.9624502
99,104050024.1128166
100,103886179.93203622
101,103749250.19742486
102,104731759.08951893
103,105150081.91324581
104,105151380.91240537
105,106345108.32738703
106,105635810.44907054
107,106071920.2675693
108,105263596.26661643
109,104431136.83454943
110,104930386.69822061
111,104042182.2240409
112,104628525.11843747
113,104408664.47056744
114,102962721.88931991
115,103137892.22051112
116,104090500.4351627
117,104288622.51405513
118,103929347.94911164
119,104563015.79320881
120,104419094.03048855
121,104200064.28845781
122,103630725.20272706
123,102790637.24088505
124,102719751.02751315
125,101958055.81201816
126,101395609.9478122
127,101216873.97718802
128,100478623.65983206
129,101512826.08619052
130,101556450.13518031
131,101675813.90168229
132,102037586.59842221
133,102796953.5892767
134,103302625.93447964
135,103618695.44596034
136,104383185.67573717
137,105360835.87879056
138,105254295.36487132
139,105452668.0077993
140,106029487.6618692
141,107242401.45070048
142,106466964.97733696
143,106243811.35419412
144,105105279.66334113
145,105942147.91385867
146,106247700.50882052
147,106478351.39844039
148,106805335.44165583
149,106051508.87240386
150,106050321.25631422
151,105681399.88158074
152,103486856.17027259
153,103557802.87979391
154,103096472.16998857
155,104189325.61352181
156,103431064.18410107
157,106040260.86558618
158,105425752.15368712
159,106397432.92505288
160,105612882.72024743
161,106073189.09035471
162,105461819.61374879
163,103286569.85932258
164,103506131.31002164
165,103535801.86080638
166,104096970.21205008
167,104582867.28421888
168,104145414.03960747
169,105059843.31870745
170,104711730.36680782
171,103262353.1901086
172,103759860.04716283
173,104076469.88804492
174,104794867.48201379
175,104465079.02058363
176,104457837.32350671
177,106264647.33097774
178,104661035.58910981
179,103987538.18364704
180,104228624.56241286
181,104305578.20399266
182,104726313.41577463
183,103495676.69422364
184,106289872.57630911
185,105209653.02152067
186,106003080.88699567
187,105762089.57642946
188,107394443.28706501
189,107487423.09412137
190,108872010.41884533
191,110599028.61396661
192,112512779.4450811
193,111277090.25916648
194,112138071.2113949
195,113597504.11331531
196,113355187.68736601
197,113283517.61406557
198,114151230.04464455
199,113325921.70072396
200,112292790.72777537
201,111118950.25949281
202,110353882.3127126
203,109411527.93512414
