,0
0,-2449341.953104794
1,1033337.8613233268
2,-3713519.234881133
3,-2004297.3642059863
4,922821.1095488667
5,-4232854.382916957
6,3433487.4350355864
7,-258594.34598892927
8,3684647.684738666
9,805143.1920122206
10,5881606.019027293
11,-160613.6026107967
12,-2447429.046853572
13,1328575.6593166888
14,-2274248.382703513
15,-3334834.4953154624
16,-992461.088707298
17,-3501072.555366546
18,3692197.875786066
19,-865783.1198115647
20,-538194.5182975233
21,-4308679.973195046
22,-703655.6794876754
23,-3874306.145855963
24,-7568048.394352883
25,1969175.8564037979
26,-3245150.7471818626
27,506814.48969468474
28,1427424.8498190045
29,-4323379.616970301
30,-10310187.156409383
31,2853244.7873223424
32,-3963097.2778454423
33,-7000048.017367333
34,-9031441.384533554
35,-4120964.148514241
36,882509.1010963619
37,891378.6010912955
38,-1742840.358529389
39,-1084345.8855442703
40,8285311.283425003
41,11640699.699808806
42,-5689238.646647304
43,6826526.080546051
44,-2515703.080505401
45,-1450920.0267795026
46,-6183601.285696864
47,-1267283.7048541307
48,-1371926.80780074
49,7016380.969959527
50,4940373.767486811
51,2314717.6265109777
52,78841.18787139654
53,1082823.782518357
54,-3247208.3555448055
55,4054745.454195887
56,2549744.390598923
57,-2486097.8638866246
58,3207994.786267668
59,-1014158.2166629732
60,-2539332.603387207
61,-3389364.313771248
