,0
0,100000000.0
1,100003611.79388463
2,100015995.41243185
3,99931257.98537885
4,99915237.34809442
5,99859064.4698575
6,99840043.43285914
7,99729363.08853738
8,99770446.23761734
9,99771533.34607321
10,99684852.71238633
11,99515452.23705325
12,99618784.53086448
13,99443263.43232866
14,99325710.27909774
15,99615571.24194548
16,99757424.82088614
17,99916128.51533633
18,99337775.64470403
19,99058843.07734735
20,99208846.92580397
21,99381217.24104871
22,99309175.30966388
23,99366948.95495328
24,99261451.18323198
25,99306474.98976298
26,99239852.15852135
27,99362794.94491649
28,99426015.04835214
29,99311114.14725326
30,99110200.544739
31,98983785.68295608
32,98677941.05216713
33,98676216.97934401
34,98892512.84226437
35,99251317.49603608
36,99229691.70722188
37,99475251.32883969
38,99145035.79358381
39,98961847.02104683
40,99078969.5110302
41,99055549.76921697
42,98575126.41130131
43,98550695.46084103
44,98531445.52612409
45,99325753.36363663
46,99000549.32695667
47,99556247.90904704
48,99980565.97563595
49,100344722.08448677
50,99917326.99321477
51,99824713.40532367
52,100502761.19006501
53,101230922.51697686
54,101068256.58960293
55,101130150.59285624
56,100881179.65979834
57,99832045.32694985
58,99847347.36782424
59,100209028.44513524
60,101012905.19072884
61,101055147.59345897
62,100923901.4380161
63,100946962.21792309
64,100098259.1317208
65,100218512.192946
66,100018685.79328106
67,99272112.82194416
68,99285050.5913824
69,99435361.91809542
70,99625750.32867232
71,98977726.55620249
72,98553028.62588361
73,98462277.22150281
74,98852062.50922155
75,99146831.64953795
76,98654556.47268046
77,98779922.01447429
78,98361358.53246653
79,99146704.46939237
80,99737310.65455706
81,100588083.97594343
82,100290501.12318219
83,100275963.86822882
84,100112718.01967789
85,100328450.43404728
86,99558580.71665937
87,99797086.13939045
88,98918158.32819156
89,99530594.56272882
90,99632041.37151054
91,99724552.36631024
92,99182327.76360506
93,99285081.14001122
94,99176910.96503937
95,99503843.52532908
96,99687195.50724578
97,99611099.30937053
98,100527144.17969477
99,100445366.6671131
100,99962470.15537259
101,99586114.69444902
102,99983134.6883532
103,100586599.54436833
104,100653935.89118782
105,101181814.03903198
106,100925940.7446129
107,100575566.78489038
108,100031914.72069725
109,99625087.79437424
110,100027471.97937204
111,99866239.25063573
112,100009964.8869116
113,99869001.11058041
114,99209121.92639193
115,99465675.9161796
116,99982461.42761809
117,99968608.57824564
118,100218626.88893929
119,100789874.12423036
120,100758412.01283145
121,100562755.46287546
122,100366929.42085397
123,100056003.65461338
124,100077130.48748848
125,99861394.11663896
126,98936523.90596822
127,98677560.90565108
128,98238548.07896975
129,98821820.68800314
130,98461635.09657931
131,98827685.82600999
132,98659043.16530636
133,99154950.59337318
134,99488775.5520074
135,99866812.66365364
136,100548477.79123946
137,100857167.823657
138,100810262.79927248
139,100244413.13141945
140,101243387.06089504
141,100136794.59989072
142,100568581.38098168
143,100333217.94815443
144,99780301.09421772
145,100115711.70423615
146,100051595.11906505
147,100423232.35264158
148,100459423.54035667
149,100018307.41792905
150,100214258.0316898
151,100400816.20168112
152,98869990.74179354
153,98597739.42355736
154,98643884.44859251
155,98829910.90256882
156,97762077.26642954
157,99017039.22177958
158,98781087.15087351
159,99382926.2475836
160,99190251.57238297
161,100160123.76762047
162,100133900.57402587
163,99375048.25416936
164,98780806.92690948
165,98146452.44534563
166,98414930.73186931
167,98518013.41618294
