,0
0,-1733734.8412642777
1,2809887.7892827094
2,-401609.2688959837
3,2922442.2162189186
4,-2695401.911359489
5,1375102.3277783096
6,1091342.5850775242
7,1894996.5103984475
8,752085.3851398826
9,-1952656.230343014
10,-1289897.6336987317
11,17426.50418189168
12,-635029.1610766053
13,328656.41860699654
14,1730323.725016892
15,727691.732291013
16,-261940.18589520454
17,2136519.452943057
18,3408818.938644409
19,-586875.3440783322
20,2995210.5214492083
21,548405.5770784914
22,3315204.4504871964
23,100848.32945165038
24,2862973.391233176
25,1179373.0202344656
26,1230282.3285301924
27,1161271.801449895
28,519077.41895765066
29,629819.6320629716
30,-2516183.9194489717
31,592891.4038885236
32,-5980612.1154462695
33,4970417.391835362
34,1070855.6044013798
35,110159.2976424098
36,3121853.3152478635
37,-438697.4953415692
38,-475146.9694763124
39,327517.4553195834
40,-2156113.440941423
41,1174524.7610414028
42,-2905671.923591435
43,1703000.690960437
44,462399.57941660285
45,469673.2695157528
46,2712817.1686317623
47,3272389.8289277554
48,491288.4195379615
49,-2332778.238089204
50,646758.4800601602
51,-3478210.1446594
52,1110227.5348825455
53,-2514786.897042036
54,1675016.5320385695
55,-1122305.7338652909
56,-1032650.2595549524
57,-967453.9940780997
58,2452942.830397457
59,-869967.9685000181
60,-1183589.078439802
61,-533566.846200496
