,0
0,125204398.58288307
1,126334454.67699862
2,125216218.79477125
3,124913441.86511403
4,124983698.27735867
5,127544927.638334
6,126834432.61003359
7,126120423.78044075
8,126113325.636222
9,128411827.82003792
10,127363714.30036983
11,126994796.86864465
12,127462708.0428716
13,127319405.13155615
14,125683211.30441615
15,125439653.96750477
16,125438250.06003785
17,124169384.1167444
18,125557204.5363934
19,125664771.56335409
20,125903877.84022433
21,124951239.49148898
22,124479585.0599758
23,125399160.71461326
24,126629821.85262813
25,126247455.44099067
26,126019317.00514802
27,126659304.08051766
28,126420386.35043173
29,127169433.23712039
30,127849885.61842947
31,127854851.15636966
32,127004582.95023836
33,125789697.33061734
34,125733766.09352456
35,125823765.7447546
36,126169482.62483585
37,128145049.74276017
38,129852325.83053415
39,130337083.55957249
40,129790837.1093967
41,130660881.43661448
42,130659502.28728098
43,133802539.9912131
44,135095120.8243281
45,133798289.56703037
46,132965035.44791879
47,133832301.77427585
48,132833726.11213535
49,132743208.46491922
50,133734797.11653373
51,133908800.61065945
52,134296558.04190648
53,135636653.29553914
54,135249090.48340023
55,135267402.39637002
56,135944277.72476834
57,135942519.99200192
58,136845025.16137105
59,137010764.1385637
60,136968315.11022383
61,137903641.8898846
62,138498101.00174984
